request_id,latency_sec
1,0.14159798622131348
2,0.06194019317626953
3,0.06063389778137207
4,0.06529617309570312
5,0.05668306350708008
6,0.05891704559326172
7,0.0615692138671875
8,0.15084528923034668
9,0.06401181221008301
10,0.06195712089538574
11,0.05790400505065918
12,0.06435370445251465
13,0.06073904037475586
14,0.056860923767089844
15,0.1445467472076416
16,0.06441807746887207
17,0.06365704536437988
18,0.06267309188842773
19,0.05954694747924805
20,0.06025218963623047
21,0.06350994110107422
22,0.1546480655670166
23,0.06247305870056152
24,0.06116676330566406
25,0.060151100158691406
26,0.05843400955200195
27,0.05678987503051758
28,0.05737590789794922
29,0.1364457607269287
30,0.06691288948059082
31,0.05899786949157715
32,0.06416010856628418
33,0.06067466735839844
34,0.06424283981323242
35,0.05734395980834961
36,0.15036273002624512
37,0.0630030632019043
38,0.057501792907714844
39,0.061383962631225586
40,0.05438494682312012
41,0.054270029067993164
42,0.06155705451965332
43,0.059623003005981445
44,0.14385604858398438
45,0.05584526062011719
46,0.06400084495544434
47,0.057908058166503906
48,0.06255888938903809
49,0.057167768478393555
50,0.05681204795837402
51,0.13687777519226074
52,0.05450606346130371
53,0.05697894096374512
54,0.05744671821594238
55,0.06063413619995117
56,0.054685115814208984
57,0.059339046478271484
58,0.06516003608703613
59,0.14583802223205566
60,0.05681896209716797
61,0.06486392021179199
62,0.05642986297607422
63,0.06544303894042969
64,0.05807781219482422
65,0.06205391883850098
66,0.13151884078979492
67,0.06054186820983887
68,0.06319093704223633
69,0.06341290473937988
70,0.07140994071960449
71,0.06315803527832031
72,0.060426950454711914
73,0.1442868709564209
74,0.06583809852600098
75,0.06174182891845703
76,0.06494307518005371
77,0.06281900405883789
78,0.07541298866271973
79,0.06810879707336426
80,0.14733624458312988
81,0.05560922622680664
82,0.06604170799255371
83,0.07970905303955078
84,0.059700965881347656
85,0.0598599910736084
86,0.06354784965515137
87,0.14418482780456543
88,0.062348127365112305
89,0.06286787986755371
90,0.054936885833740234
91,0.057787179946899414
92,0.05841994285583496
93,0.06479167938232422
94,0.13498377799987793
95,0.05783510208129883
96,0.06497812271118164
97,0.06436920166015625
98,0.06313204765319824
99,0.06621384620666504
100,0.05393385887145996
